iter	Passed	Remaining
0	57	57274
1	57	28757
2	57	19259
3	58	14500
4	58	11654
5	58	9749
6	59	8396
7	59	7374
8	59	6579
9	60	5941
10	60	5423
11	60	4991
12	60	4622
13	61	4307
14	61	4041
15	61	3807
16	62	3601
17	62	3417
18	62	3252
19	63	3103
20	63	2971
21	64	2851
22	64	2737
23	64	2631
24	65	2535
25	65	2446
26	65	2362
27	65	2285
28	66	2214
29	66	2148
30	66	2087
31	67	2028
32	67	1973
33	67	1923
34	68	1878
35	68	1832
36	68	1787
37	68	1745
38	69	1707
39	69	1669
40	69	1633
41	70	1598
42	70	1566
43	70	1534
44	70	1503
45	71	1476
46	71	1448
47	71	1421
48	71	1395
49	72	1371
50	72	1347
51	72	1324
52	72	1302
53	73	1281
54	73	1261
55	73	1241
56	73	1223
57	74	1205
58	74	1187
59	74	1170
60	75	1154
61	75	1139
62	75	1124
63	75	1109
64	76	1096
65	76	1083
66	76	1070
67	76	1054
68	77	1041
69	77	1029
70	77	1017
71	78	1005
72	78	993
73	78	982
74	78	972
75	79	962
76	79	952
77	79	942
78	79	932
79	80	922
80	80	912
81	80	902
82	80	893
83	81	884
84	81	874
85	81	867
86	81	858
87	82	850
88	82	842
89	82	835
90	82	827
91	83	821
92	83	813
93	83	806
94	83	800
95	84	793
96	84	787
97	84	781
98	85	774
99	85	768
100	85	762
101	85	756
102	86	750
103	86	743
104	86	738
105	86	733
106	87	727
107	87	721
108	87	716
109	87	710
110	88	705
111	88	700
112	88	695
113	88	690
114	89	685
115	89	680
116	89	675
117	89	671
118	90	666
119	90	661
120	90	657
121	90	652
122	90	647
123	91	644
124	91	639
125	91	635
126	91	631
127	92	627
128	92	623
129	92	620
130	92	616
131	93	612
132	93	608
133	93	604
134	93	601
135	94	597
136	94	594
137	94	590
138	94	586
139	94	583
140	95	580
141	95	577
142	95	573
143	95	570
144	96	567
145	96	564
146	96	561
147	96	558
148	97	556
149	97	553
150	97	550
151	98	548
152	98	545
153	98	542
154	99	539
155	99	537
156	99	534
157	99	531
158	100	529
159	100	526
160	100	523
161	100	521
162	100	518
163	101	515
164	101	513
165	101	510
166	101	508
167	102	505
168	102	503
169	102	500
170	102	498
171	103	496
172	103	494
173	103	492
174	103	490
175	104	487
176	104	485
177	104	483
178	104	481
179	105	478
180	105	476
181	105	474
182	105	471
183	105	469
184	106	467
185	106	465
186	106	463
187	107	462
188	107	460
189	107	458
190	107	456
191	108	454
192	108	452
193	108	451
194	108	449
195	109	447
196	109	445
197	109	443
198	109	441
199	110	440
200	110	438
201	110	436
202	110	434
203	110	433
204	111	431
205	111	430
206	111	428
207	112	427
208	112	425
209	112	423
210	112	422
211	113	420
212	113	419
213	113	417
214	113	416
215	114	414
216	114	413
217	114	411
218	115	410
219	115	408
220	115	407
221	115	405
222	116	404
223	116	403
224	116	401
225	116	400
226	117	399
227	117	397
228	117	396
229	117	394
230	118	393
231	118	392
232	118	390
233	118	389
234	119	387
235	119	386
236	119	385
237	119	383
238	120	382
239	120	381
240	120	380
241	120	378
242	121	377
243	121	376
244	121	375
245	122	374
246	122	372
247	122	371
248	122	370
249	122	368
250	123	367
251	123	366
252	123	364
253	123	363
254	124	362
255	124	361
256	124	360
257	124	359
258	125	357
259	125	356
260	125	355
261	125	354
262	126	353
263	126	352
264	126	351
265	126	350
266	127	349
267	127	348
268	127	347
269	128	346
270	128	345
271	128	344
272	128	343
273	129	342
274	129	341
275	129	340
276	129	339
277	130	338
278	130	337
279	130	336
280	131	335
281	131	334
282	131	333
283	131	332
284	132	331
285	132	330
286	132	329
287	132	328
288	133	327
289	133	326
290	133	325
291	133	324
292	134	323
293	134	322
294	134	321
295	134	320
296	135	319
297	135	318
298	135	317
299	135	316
300	136	316
301	136	315
302	136	314
303	136	313
304	137	312
305	137	311
306	137	310
307	137	309
308	138	308
309	138	308
310	138	307
311	138	306
312	139	305
313	140	305
314	140	304
315	140	304
316	140	303
317	140	302
318	141	301
319	141	300
320	141	299
321	141	298
322	142	297
323	142	296
324	142	296
325	142	295
326	143	294
327	143	293
328	143	292
329	143	292
330	144	291
331	144	290
332	144	289
333	145	289
334	145	288
335	145	287
336	145	287
337	146	286
338	146	285
339	146	284
340	146	283
341	147	283
342	147	282
343	147	281
344	147	280
345	148	280
346	148	279
347	148	278
348	149	278
349	149	277
350	149	277
351	150	276
352	150	275
353	150	275
354	151	274
355	151	273
356	151	273
357	151	272
358	152	271
359	152	270
360	152	270
361	152	269
362	153	268
363	153	268
364	153	267
365	153	266
366	154	265
367	154	265
368	154	264
369	154	263
370	155	263
371	155	262
372	155	261
373	155	260
374	156	260
375	156	259
376	156	258
