iter	Passed	Remaining
0	57	57507
1	57	28876
2	58	19353
3	58	14600
4	58	11723
5	59	9812
6	59	8443
7	59	7416
8	60	6615
9	60	5976
10	60	5453
11	60	5017
12	61	4648
13	61	4332
14	61	4057
15	62	3816
16	62	3603
17	62	3418
18	62	3249
19	63	3095
20	63	2957
21	63	2831
22	63	2716
23	64	2613
24	64	2517
25	64	2428
26	65	2347
27	65	2269
28	65	2198
29	65	2131
30	66	2069
31	66	2010
32	66	1954
33	66	1901
34	67	1852
35	67	1806
36	67	1762
37	67	1720
38	68	1680
39	68	1643
40	68	1607
41	68	1572
42	69	1540
43	69	1509
44	69	1480
45	70	1452
46	70	1425
47	70	1398
48	70	1375
49	71	1351
50	71	1328
51	71	1305
52	71	1283
53	72	1270
54	72	1250
55	73	1231
56	73	1212
57	73	1194
58	73	1177
59	74	1159
60	74	1145
61	74	1128
62	74	1113
63	75	1098
64	75	1083
65	75	1069
66	75	1055
67	76	1042
68	76	1029
69	76	1018
70	76	1005
71	77	993
72	77	982
73	77	971
74	77	960
75	78	949
76	78	939
77	78	929
78	78	919
79	79	909
80	79	900
81	79	891
82	79	880
83	79	871
84	80	863
85	80	854
86	80	846
87	80	838
88	81	830
89	81	823
90	81	816
91	81	808
92	82	801
93	82	794
94	82	787
95	82	780
96	83	773
97	83	767
98	83	760
99	83	754
100	84	748
101	84	742
102	84	736
103	84	730
104	85	726
105	85	722
106	85	717
107	86	712
108	86	707
109	86	702
110	87	698
111	87	693
112	87	688
113	87	683
114	88	678
115	88	673
116	88	668
117	88	664
118	89	659
119	89	655
120	89	650
121	89	645
122	89	641
123	90	637
124	90	632
125	90	628
126	90	624
127	91	620
128	91	616
129	91	613
130	91	609
131	92	605
132	92	601
133	92	597
134	92	594
135	92	590
136	93	587
137	93	584
138	93	581
139	94	577
140	94	574
141	94	570
142	94	567
143	94	563
144	95	560
145	95	557
146	95	554
147	95	551
148	96	548
149	96	545
150	96	542
151	96	540
152	97	537
153	97	534
154	97	531
155	97	528
156	97	526
157	98	523
158	98	521
159	98	518
160	98	515
161	99	512
162	99	510
163	99	507
164	99	505
165	100	502
166	100	500
167	100	497
168	100	495
169	100	492
170	101	490
171	101	488
172	101	486
173	102	484
174	102	482
175	102	479
176	102	477
177	102	475
178	103	473
179	103	471
180	103	469
181	104	467
182	104	465
183	104	463
184	104	461
185	105	459
186	105	457
187	105	455
188	105	453
189	105	451
190	106	449
191	106	447
192	106	446
193	106	444
194	107	442
195	107	440
196	107	438
197	107	436
198	108	435
199	108	433
200	108	431
201	108	430
202	109	428
203	110	430
204	110	428
205	110	427
206	111	425
207	111	423
208	111	422
209	111	420
210	112	419
211	112	417
212	112	416
213	112	414
214	113	412
215	113	411
216	113	409
217	113	408
218	114	406
219	114	405
220	114	403
221	114	402
222	115	400
223	115	399
224	115	398
225	115	396
226	116	395
227	116	393
228	116	392
229	116	390
230	116	389
231	117	387
232	117	386
233	117	385
234	117	383
235	118	382
236	118	380
237	118	379
238	118	378
239	119	377
240	119	375
241	119	374
242	119	373
243	120	372
244	120	370
245	120	369
246	120	368
247	121	366
248	121	365
249	121	364
250	121	363
251	121	362
252	122	360
253	122	359
254	122	358
255	122	357
256	123	356
257	123	355
258	123	353
259	123	352
260	124	351
261	124	350
262	124	349
263	124	348
264	125	347
265	125	345
266	125	344
267	125	343
268	126	342
269	126	341
270	126	340
271	126	339
272	126	338
273	127	337
274	127	336
275	127	334
276	127	333
277	128	332
278	128	331
279	128	330
280	128	329
281	129	328
282	129	327
283	129	326
284	129	325
285	130	324
286	130	323
287	130	322
288	130	321
289	130	320
290	131	319
291	131	318
292	131	317
293	131	316
294	132	315
295	132	314
296	132	314
297	132	313
298	133	312
299	133	311
300	133	310
301	133	309
302	134	308
303	134	307
304	134	306
305	134	305
306	135	305
307	135	304
308	135	303
309	135	302
310	136	301
311	136	300
312	136	299
313	136	298
314	137	298
315	137	297
316	137	296
317	137	295
318	138	294
319	138	293
320	138	293
321	138	292
322	139	291
323	139	290
324	139	290
325	139	289
326	140	288
327	140	287
328	140	286
329	140	285
330	141	285
331	141	284
332	141	283
333	141	282
334	142	281
335	142	281
336	142	280
337	142	279
338	142	278
339	143	277
340	143	277
341	143	276
342	143	275
343	144	274
344	144	274
345	144	273
346	144	272
347	145	271
348	145	270
349	145	270
350	145	269
351	145	268
352	146	267
353	146	267
354	146	266
355	146	265
356	147	265
357	147	264
358	147	263
359	147	262
360	148	262
361	148	261
362	148	260
363	148	260
364	149	259
365	149	258
366	149	258
367	149	257
368	150	256
369	150	255
370	150	255
371	150	254
372	151	254
373	151	253
374	151	252
375	152	252
376	152	251
377	152	250
378	152	250
379	152	249
380	153	248
381	153	248
382	153	247
383	153	247
384	154	246
385	154	245
386	154	244
387	154	244
388	155	243
389	156	244
390	156	243
391	156	242
392	156	242
393	156	241
394	157	240
395	157	240
396	157	239
397	157	238
398	158	238
399	158	237
400	158	236
401	158	236
402	159	235
403	159	235
404	159	234
405	159	233
406	160	233
407	160	232
408	160	231
409	160	231
410	161	230
411	161	230
412	161	229
413	161	228
414	161	228
415	162	227
416	162	226
417	162	226
418	162	225
419	163	225
420	163	224
421	163	223
422	163	223
423	163	222
424	164	222
425	164	221
426	164	220
427	164	220
428	165	219
429	165	219
430	165	218
431	165	218
432	166	217
433	166	216
434	166	216
435	166	215
436	167	215
437	167	214
438	167	214
439	167	213
440	168	213
441	168	212
442	168	211
443	168	211
444	168	210
445	169	210
446	169	209
447	169	209
448	169	208
449	170	208
450	170	207
451	170	207
452	171	206
453	171	205
454	171	205
455	171	204
456	171	204
457	172	203
458	172	203
459	172	202
460	172	202
461	173	201
462	173	201
463	173	200
464	173	200
465	174	199
466	174	199
467	174	198
468	174	197
469	175	197
470	175	196
471	175	196
472	175	195
473	175	195
474	176	194
475	176	194
476	176	193
477	176	193
478	177	192
479	177	192
480	177	191
481	177	191
482	177	190
483	178	190
484	178	189
485	178	189
486	178	188
487	179	188
488	179	187
489	179	187
490	179	186
491	180	186
492	180	185
493	180	185
494	180	184
495	181	184
496	181	183
497	181	183
498	181	182
499	182	182
500	182	181
501	182	181
502	182	180
503	183	180
504	183	179
505	183	179
506	183	178
507	184	178
508	184	177
509	184	177
510	184	176
511	185	176
512	185	176
513	185	175
514	185	175
515	186	174
516	186	174
517	186	173
518	186	173
519	186	172
520	187	172
521	187	171
522	187	171
523	187	170
524	188	170
525	188	169
526	188	169
527	188	168
528	189	168
529	189	167
530	189	167
531	189	166
532	189	166
533	190	165
534	190	165
